X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.72E+03,4.73E+03,1.12E+03,nan,nan,2.02E+00,1.00E+01,1.00E+01,1.40E+04,2.26E+08,-9.00E-01
2.73E+03,4.73E+03,1.12E+03,nan,nan,2.32E+00,1.00E+01,1.00E+01,1.00E+04,1.72E+08,-9.00E-01
2.71E+03,4.71E+03,1.08E+03,nan,nan,2.74E+00,1.00E+01,8.00E+00,2.02E+03,9.20E+06,-1.90E+00
2.70E+03,4.73E+03,1.10E+03,nan,nan,2.89E+00,1.00E+01,1.00E+01,9.70E+02,1.49E+07,-1.70E+00
2.72E+03,4.72E+03,1.10E+03,nan,nan,2.15E+00,1.00E+01,1.00E+01,2.03E+03,1.18E+08,-9.00E-01
2.75E+03,4.78E+03,1.15E+03,nan,nan,1.67E+00,8.00E+00,7.00E+00,9.81E+01,1.37E+06,-2.40E+00
2.68E+03,4.72E+03,1.10E+03,nan,nan,4.84E+00,9.00E+00,9.00E+00,2.38E+03,1.88E+07,-1.70E+00
2.78E+03,4.73E+03,1.12E+03,nan,nan,3.20E+00,1.00E+01,1.00E+01,3.58E+03,2.83E+08,-6.00E-01
2.77E+03,4.72E+03,1.10E+03,nan,nan,3.58E+00,1.00E+01,1.00E+01,4.37E+02,3.83E+07,-1.20E+00
2.71E+03,4.69E+03,1.09E+03,nan,nan,2.09E+00,6.00E+00,6.00E+00,1.30E+02,1.18E+06,-2.50E+00
2.77E+03,4.72E+03,1.10E+03,nan,nan,1.62E+00,6.00E+00,6.00E+00,3.90E+01,4.47E+05,-2.70E+00
2.70E+03,4.72E+03,1.08E+03,nan,nan,3.49E+00,9.00E+00,8.00E+00,5.03E+01,2.30E+06,-2.10E+00
2.80E+03,4.73E+03,1.12E+03,nan,nan,1.27E+00,6.00E+00,5.00E+00,1.25E+02,6.41E+05,-2.70E+00
2.73E+03,4.72E+03,1.10E+03,nan,nan,2.15E+00,6.00E+00,5.00E+00,2.17E+02,1.33E+06,-2.50E+00
2.76E+03,4.79E+03,1.19E+03,nan,nan,1.21E+00,8.00E+00,6.00E+00,2.93E+03,4.49E+06,-2.30E+00
2.63E+03,4.77E+03,1.15E+03,nan,nan,4.05E+00,1.00E+01,1.00E+01,2.30E+04,3.48E+08,-8.00E-01
